__source_file,instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation,UB_mean,UB_min,best_time_mean_sec,runs,runtime_mean_sec
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_runs_3079252.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,4,3,,,,,,,34,96,62,True,0,0.072883240878582,0,baseline,0.072883240878582,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_runs_3079252.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,4,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,34,96,62,True,0,22.864225961267948,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079251.csv,DSJC250.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,92.0,92,0.33692536503076553,1,0.33692536503076553
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079251.csv,DSJC250.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,96.0,96,0.0,1,18.922481037676334
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079251.csv,DSJC250.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,96.0,96,0.060839757323265076,1,0.060839757323265076
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079252.csv,DSJC250.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,92.0,92,0.40571778267621994,1,0.40571778267621994
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079252.csv,DSJC250.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,96.0,96,0.0,1,22.864225961267948
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed4_summary_3079252.csv,DSJC250.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,96.0,96,0.072883240878582,1,0.072883240878582
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,0,3,,,,,,,43,170,127,True,0,2.7571864277124405,0,baseline,2.7571864277124405,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,0,3,,,,,,,43,172,129,True,0,0.26675619184970856,0,baseline,0.26675619184970856,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,123.64879083633423,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_summary_3079251.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,2.7571864277124405,1,2.7571864277124405
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_summary_3079251.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,123.64879083633423
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed0_summary_3079251.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.26675619184970856,1,0.26675619184970856
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,1,3,,,,,,,43,170,127,True,0,2.7574627324938774,0,baseline,2.7574627324938774,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,1,3,,,,,,,43,172,129,True,0,0.26401984691619873,0,baseline,0.26401984691619873,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,124.7509054839611,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,1,3,,,,,,,43,170,127,True,0,3.2881676331162453,0,baseline,3.2881676331162453,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,1,3,,,,,,,43,172,129,True,0,0.32734909653663635,0,baseline,0.32734909653663635,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,146.88438667356968,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079251.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,2.7574627324938774,1,2.7574627324938774
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079251.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,124.7509054839611
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079251.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.26401984691619873,1,0.26401984691619873
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079252.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,3.2881676331162453,1,3.2881676331162453
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079252.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,146.88438667356968
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed1_summary_3079252.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.32734909653663635,1,0.32734909653663635
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,2,3,,,,,,,43,170,127,True,0,2.7702056020498276,0,baseline,2.7702056020498276,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,2,3,,,,,,,43,172,129,True,0,0.26603056490421295,0,baseline,0.26603056490421295,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,2,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,126.97751220315695,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_summary_3079251.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,2.7702056020498276,1,2.7702056020498276
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_summary_3079251.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,126.97751220315695
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed2_summary_3079251.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.26603056490421295,1,0.26603056490421295
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,3,3,,,,,,,43,170,127,True,0,2.7737269774079323,0,baseline,2.7737269774079323,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,3,3,,,,,,,43,172,129,True,0,0.2629033178091049,0,baseline,0.2629033178091049,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,3,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,120.83871591836214,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,3,3,,,,,,,43,170,127,True,0,3.3315369561314583,0,baseline,3.3315369561314583,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,3,3,,,,,,,43,172,129,True,0,0.3254336342215538,0,baseline,0.3254336342215538,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,3,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,151.29439359158278,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079251.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,2.7737269774079323,1,2.7737269774079323
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079251.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,120.83871591836214
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079251.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.2629033178091049,1,0.2629033178091049
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079252.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,3.3315369561314583,1,3.3315369561314583
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079252.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,151.29439359158278
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed3_summary_3079252.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.3254336342215538,1,0.3254336342215538
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,4,3,,,,,,,43,170,127,True,0,2.7894760742783546,0,baseline,2.7894760742783546,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,4,3,,,,,,,43,172,129,True,0,0.2646538093686104,0,baseline,0.2646538093686104,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079251.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,4,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,127.14984831959009,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,4,3,,,,,,,43,170,127,True,0,3.3065373450517654,0,baseline,3.3065373450517654,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,4,3,,,,,,,43,172,129,True,0,0.32273808866739273,0,baseline,0.32273808866739273,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_runs_3079252.csv,DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,4,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,43,172,129,True,0,151.89382024109364,0,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079251.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,2.7894760742783546,1,2.7894760742783546
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079251.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,127.14984831959009
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079251.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.2646538093686104,1,0.2646538093686104
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079252.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,170.0,170,3.3065373450517654,1,3.3065373450517654
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079252.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,172.0,172,0.0,1,151.89382024109364
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC500.9_seed4_summary_3079252.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,172.0,172,0.32273808866739273,1,0.32273808866739273
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,43200,,,,,,,34,92,58,True,0,0.40190601348876953,0,baseline,0.40190601348876953,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,1,43200,,,,,,,34,92,58,True,0,0.40252749621868134,0,baseline,0.40252749621868134,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,2,43200,,,,,,,34,92,58,True,0,0.4051932767033577,0,baseline,0.4051932767033577,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,3,43200,,,,,,,34,92,58,True,0,0.40269406884908676,0,baseline,0.40269406884908676,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,4,43200,,,,,,,34,92,58,True,0,0.4023975357413292,0,baseline,0.4023975357413292,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,43200,,,,,,,34,96,62,True,0,0.07739154249429703,0,baseline,0.07739154249429703,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,1,43200,,,,,,,34,96,62,True,0,0.07664515823125839,0,baseline,0.07664515823125839,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,2,43200,,,,,,,34,96,62,True,0,0.07615600526332855,0,baseline,0.07615600526332855,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,3,43200,,,,,,,34,96,62,True,0,0.07541928440332413,0,baseline,0.07541928440332413,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,4,43200,,,,,,,34,96,62,True,0,0.07502994686365128,0,baseline,0.07502994686365128,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,86,52,True,0,43213.43044903129,31,time_limit,3107.6435635089874,3,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,1,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43788.978548802435,38,time_limit,604.802175283432,1,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,2,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,44429.95873134583,39,time_limit,525.3388431072235,1,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,3,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43223.36006091535,34,time_limit,669.3050048351288,1,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_runs_3077184.csv,DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,4,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43457.34870688617,34,time_limit,589.9780972003937,1,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_summary_3077184.csv,DSJC250.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,,92.0,92,0.4029436782002449,5,0.4029436782002449
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_summary_3077184.csv,DSJC250.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,,86.8,86,1099.413536787033,5,43622.61529939622
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_DSJC250.9_summary_3077184.csv,DSJC250.9,,,,,,slo,,,,,,,,,,,,,,,,,,,,96.0,96,0.07612838745117187,5,0.07612838745117187
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,dsatur,0,6000,,,,,,,41,65,24,True,0,0.5269522741436958,0,baseline,0.5269522741436958,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,dsatur,1,6000,,,,,,,41,65,24,True,0,0.5249462723731995,0,baseline,0.5249462723731995,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,dsatur,2,6000,,,,,,,41,65,24,True,0,0.5271767303347588,0,baseline,0.5271767303347588,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,slo,0,6000,,,,,,,41,65,24,True,0,0.02823663502931595,0,baseline,0.02823663502931595,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,slo,1,6000,,,,,,,41,65,24,True,0,0.027732349932193756,0,baseline,0.027732349932193756,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,slo,2,6000,,,,,,,41,65,24,True,0,0.027270600199699402,0,baseline,0.027270600199699402,0,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,iterlp2_full,0,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,41,65,24,True,0,6114.099357716739,12,time_limit,0.0,0,full,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/final_medium_fpsol2.i.1_runs_3077179.csv,fpsol2.i.1,dimacs,496,11654,0.09493320299771912,46.99193548387097,iterlp2_full,1,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,41,65,24,True,0,6148.760307528079,12,time_limit,0.0,0,full,,,,,
